iter: 1000, train loss: 7.0207, valid recall[@10]: 0.0090, valid nDCG[@10]: 0.0045
iter: 2000, train loss: 6.5018, valid recall[@10]: 0.0320, valid nDCG[@10]: 0.0174
iter: 3000, train loss: 6.0683, valid recall[@10]: 0.0300, valid nDCG[@10]: 0.0165
iter: 4000, train loss: 5.6990, valid recall[@10]: 0.0410, valid nDCG[@10]: 0.0219
iter: 5000, train loss: 5.4083, valid recall[@10]: 0.0740, valid nDCG[@10]: 0.0382
iter: 6000, train loss: 5.1815, valid recall[@10]: 0.0720, valid nDCG[@10]: 0.0420
iter: 7000, train loss: 4.9762, valid recall[@10]: 0.0610, valid nDCG[@10]: 0.0333
iter: 8000, train loss: 4.7997, valid recall[@10]: 0.0850, valid nDCG[@10]: 0.0508
iter: 9000, train loss: 4.6677, valid recall[@10]: 0.0740, valid nDCG[@10]: 0.0413
iter: 10000, train loss: 4.5515, valid recall[@10]: 0.1160, valid nDCG[@10]: 0.0716
iter: 11000, train loss: 4.4446, valid recall[@10]: 0.0960, valid nDCG[@10]: 0.0507
iter: 12000, train loss: 4.3565, valid recall[@10]: 0.1160, valid nDCG[@10]: 0.0683
iter: 13000, train loss: 4.2624, valid recall[@10]: 0.1180, valid nDCG[@10]: 0.0730
iter: 14000, train loss: 4.1943, valid recall[@10]: 0.1300, valid nDCG[@10]: 0.0774
iter: 15000, train loss: 4.1258, valid recall[@10]: 0.1320, valid nDCG[@10]: 0.0742
iter: 16000, train loss: 4.0724, valid recall[@10]: 0.1180, valid nDCG[@10]: 0.0665
iter: 17000, train loss: 4.0296, valid recall[@10]: 0.1260, valid nDCG[@10]: 0.0755
iter: 18000, train loss: 3.9850, valid recall[@10]: 0.1220, valid nDCG[@10]: 0.0707
iter: 19000, train loss: 3.9360, valid recall[@10]: 0.1430, valid nDCG[@10]: 0.0820
iter: 20000, train loss: 3.8939, valid recall[@10]: 0.1470, valid nDCG[@10]: 0.0828
iter: 21000, train loss: 3.8648, valid recall[@10]: 0.1350, valid nDCG[@10]: 0.0783
iter: 22000, train loss: 3.8357, valid recall[@10]: 0.1540, valid nDCG[@10]: 0.0885
iter: 23000, train loss: 3.8068, valid recall[@10]: 0.1580, valid nDCG[@10]: 0.0884
iter: 24000, train loss: 3.7827, valid recall[@10]: 0.1300, valid nDCG[@10]: 0.0774
iter: 25000, train loss: 3.7509, valid recall[@10]: 0.1570, valid nDCG[@10]: 0.0919
iter: 26000, train loss: 3.7399, valid recall[@10]: 0.1390, valid nDCG[@10]: 0.0800
iter: 27000, train loss: 3.7332, valid recall[@10]: 0.1600, valid nDCG[@10]: 0.0928
iter: 28000, train loss: 3.6994, valid recall[@10]: 0.1550, valid nDCG[@10]: 0.0902
iter: 29000, train loss: 3.6981, valid recall[@10]: 0.1580, valid nDCG[@10]: 0.0924
iter: 30000, train loss: 3.6716, valid recall[@10]: 0.1500, valid nDCG[@10]: 0.0880
iter: 31000, train loss: 3.6550, valid recall[@10]: 0.1740, valid nDCG[@10]: 0.1007
iter: 32000, train loss: 3.6396, valid recall[@10]: 0.1550, valid nDCG[@10]: 0.0824
iter: 33000, train loss: 3.6450, valid recall[@10]: 0.1390, valid nDCG[@10]: 0.0836
iter: 34000, train loss: 3.6162, valid recall[@10]: 0.1540, valid nDCG[@10]: 0.0872
iter: 35000, train loss: 3.6016, valid recall[@10]: 0.1520, valid nDCG[@10]: 0.0861
iter: 36000, train loss: 3.5941, valid recall[@10]: 0.1620, valid nDCG[@10]: 0.1004
iter: 37000, train loss: 3.5836, valid recall[@10]: 0.1460, valid nDCG[@10]: 0.0855
iter: 38000, train loss: 3.5741, valid recall[@10]: 0.1530, valid nDCG[@10]: 0.0915
iter: 39000, train loss: 3.5608, valid recall[@10]: 0.1890, valid nDCG[@10]: 0.1105
iter: 40000, train loss: 3.5495, valid recall[@10]: 0.1590, valid nDCG[@10]: 0.0894
iter: 41000, train loss: 3.5349, valid recall[@10]: 0.1630, valid nDCG[@10]: 0.0911
iter: 42000, train loss: 3.5385, valid recall[@10]: 0.1680, valid nDCG[@10]: 0.0998
iter: 43000, train loss: 3.5222, valid recall[@10]: 0.1640, valid nDCG[@10]: 0.0970
iter: 44000, train loss: 3.5109, valid recall[@10]: 0.1250, valid nDCG[@10]: 0.0718
iter: 45000, train loss: 3.5135, valid recall[@10]: 0.1730, valid nDCG[@10]: 0.1020
iter: 46000, train loss: 3.5062, valid recall[@10]: 0.1760, valid nDCG[@10]: 0.1036
iter: 47000, train loss: 3.5160, valid recall[@10]: 0.1690, valid nDCG[@10]: 0.0948
iter: 48000, train loss: 3.5019, valid recall[@10]: 0.1620, valid nDCG[@10]: 0.0949
iter: 49000, train loss: 3.4931, valid recall[@10]: 0.1840, valid nDCG[@10]: 0.1092
iter: 50000, train loss: 3.4818, valid recall[@10]: 0.1630, valid nDCG[@10]: 0.1005
iter: 51000, train loss: 3.4775, valid recall[@10]: 0.1900, valid nDCG[@10]: 0.1051
iter: 52000, train loss: 3.4724, valid recall[@10]: 0.1630, valid nDCG[@10]: 0.0985
iter: 53000, train loss: 3.4619, valid recall[@10]: 0.1750, valid nDCG[@10]: 0.1023
iter: 54000, train loss: 3.4629, valid recall[@10]: 0.1910, valid nDCG[@10]: 0.1175
iter: 55000, train loss: 3.4612, valid recall[@10]: 0.1580, valid nDCG[@10]: 0.0919
iter: 56000, train loss: 3.4532, valid recall[@10]: 0.1700, valid nDCG[@10]: 0.0982
iter: 57000, train loss: 3.4412, valid recall[@10]: 0.1700, valid nDCG[@10]: 0.1009
iter: 58000, train loss: 3.4390, valid recall[@10]: 0.1760, valid nDCG[@10]: 0.0977
iter: 59000, train loss: 3.4475, valid recall[@10]: 0.1660, valid nDCG[@10]: 0.0922
