iter: 1000, train loss: 7.0917, valid recall[@10]: 0.0180, valid nDCG[@10]: 0.0084
iter: 2000, train loss: 6.7828, valid recall[@10]: 0.0190, valid nDCG[@10]: 0.0113
iter: 3000, train loss: 6.5476, valid recall[@10]: 0.0290, valid nDCG[@10]: 0.0155
iter: 4000, train loss: 6.3188, valid recall[@10]: 0.0330, valid nDCG[@10]: 0.0167
iter: 5000, train loss: 6.1004, valid recall[@10]: 0.0490, valid nDCG[@10]: 0.0263
iter: 6000, train loss: 5.9339, valid recall[@10]: 0.0420, valid nDCG[@10]: 0.0242
iter: 7000, train loss: 5.7848, valid recall[@10]: 0.0430, valid nDCG[@10]: 0.0218
iter: 8000, train loss: 5.6480, valid recall[@10]: 0.0620, valid nDCG[@10]: 0.0376
iter: 9000, train loss: 5.5416, valid recall[@10]: 0.0580, valid nDCG[@10]: 0.0317
iter: 10000, train loss: 5.4410, valid recall[@10]: 0.0590, valid nDCG[@10]: 0.0332
iter: 11000, train loss: 5.3404, valid recall[@10]: 0.0650, valid nDCG[@10]: 0.0341
iter: 12000, train loss: 5.2710, valid recall[@10]: 0.0680, valid nDCG[@10]: 0.0399
iter: 13000, train loss: 5.1957, valid recall[@10]: 0.0700, valid nDCG[@10]: 0.0367
iter: 14000, train loss: 5.1239, valid recall[@10]: 0.0750, valid nDCG[@10]: 0.0425
iter: 15000, train loss: 5.0618, valid recall[@10]: 0.0770, valid nDCG[@10]: 0.0409
iter: 16000, train loss: 4.9943, valid recall[@10]: 0.0760, valid nDCG[@10]: 0.0429
iter: 17000, train loss: 4.9327, valid recall[@10]: 0.0680, valid nDCG[@10]: 0.0404
iter: 18000, train loss: 4.8774, valid recall[@10]: 0.0670, valid nDCG[@10]: 0.0398
iter: 19000, train loss: 4.8391, valid recall[@10]: 0.0880, valid nDCG[@10]: 0.0521
iter: 20000, train loss: 4.7943, valid recall[@10]: 0.0800, valid nDCG[@10]: 0.0437
iter: 21000, train loss: 4.7553, valid recall[@10]: 0.0840, valid nDCG[@10]: 0.0489
iter: 22000, train loss: 4.7040, valid recall[@10]: 0.0930, valid nDCG[@10]: 0.0587
iter: 23000, train loss: 4.6646, valid recall[@10]: 0.0760, valid nDCG[@10]: 0.0439
iter: 24000, train loss: 4.6408, valid recall[@10]: 0.0780, valid nDCG[@10]: 0.0431
iter: 25000, train loss: 4.5939, valid recall[@10]: 0.0830, valid nDCG[@10]: 0.0512
iter: 26000, train loss: 4.5558, valid recall[@10]: 0.0920, valid nDCG[@10]: 0.0510
iter: 27000, train loss: 4.5319, valid recall[@10]: 0.0940, valid nDCG[@10]: 0.0582
iter: 28000, train loss: 4.5098, valid recall[@10]: 0.1020, valid nDCG[@10]: 0.0554
iter: 29000, train loss: 4.4846, valid recall[@10]: 0.1020, valid nDCG[@10]: 0.0557
iter: 30000, train loss: 4.4678, valid recall[@10]: 0.0990, valid nDCG[@10]: 0.0580
iter: 31000, train loss: 4.4239, valid recall[@10]: 0.0730, valid nDCG[@10]: 0.0455
iter: 32000, train loss: 4.4000, valid recall[@10]: 0.0880, valid nDCG[@10]: 0.0574
iter: 33000, train loss: 4.3751, valid recall[@10]: 0.1080, valid nDCG[@10]: 0.0665
iter: 34000, train loss: 4.3699, valid recall[@10]: 0.0970, valid nDCG[@10]: 0.0599
iter: 35000, train loss: 4.3408, valid recall[@10]: 0.1040, valid nDCG[@10]: 0.0653
iter: 36000, train loss: 4.3352, valid recall[@10]: 0.1120, valid nDCG[@10]: 0.0646
iter: 37000, train loss: 4.3167, valid recall[@10]: 0.0930, valid nDCG[@10]: 0.0537
iter: 38000, train loss: 4.2835, valid recall[@10]: 0.1060, valid nDCG[@10]: 0.0616
iter: 39000, train loss: 4.2804, valid recall[@10]: 0.1040, valid nDCG[@10]: 0.0603
iter: 40000, train loss: 4.2671, valid recall[@10]: 0.0980, valid nDCG[@10]: 0.0558
iter: 41000, train loss: 4.2449, valid recall[@10]: 0.1120, valid nDCG[@10]: 0.0672
iter: 42000, train loss: 4.2323, valid recall[@10]: 0.1100, valid nDCG[@10]: 0.0658
iter: 43000, train loss: 4.2127, valid recall[@10]: 0.0950, valid nDCG[@10]: 0.0548
iter: 44000, train loss: 4.2118, valid recall[@10]: 0.1170, valid nDCG[@10]: 0.0707
iter: 45000, train loss: 4.1973, valid recall[@10]: 0.0880, valid nDCG[@10]: 0.0493
iter: 46000, train loss: 4.1731, valid recall[@10]: 0.1040, valid nDCG[@10]: 0.0558
iter: 47000, train loss: 4.1649, valid recall[@10]: 0.0940, valid nDCG[@10]: 0.0572
iter: 48000, train loss: 4.1651, valid recall[@10]: 0.1080, valid nDCG[@10]: 0.0621
iter: 49000, train loss: 4.1584, valid recall[@10]: 0.1070, valid nDCG[@10]: 0.0591
iter: 50000, train loss: 4.1305, valid recall[@10]: 0.1270, valid nDCG[@10]: 0.0805
iter: 51000, train loss: 4.1161, valid recall[@10]: 0.0990, valid nDCG[@10]: 0.0568
iter: 52000, train loss: 4.1184, valid recall[@10]: 0.1040, valid nDCG[@10]: 0.0642
iter: 53000, train loss: 4.1079, valid recall[@10]: 0.0980, valid nDCG[@10]: 0.0629
iter: 54000, train loss: 4.1139, valid recall[@10]: 0.1100, valid nDCG[@10]: 0.0643
iter: 55000, train loss: 4.0943, valid recall[@10]: 0.1040, valid nDCG[@10]: 0.0699
iter: 56000, train loss: 4.0805, valid recall[@10]: 0.0990, valid nDCG[@10]: 0.0575
iter: 57000, train loss: 4.0767, valid recall[@10]: 0.1080, valid nDCG[@10]: 0.0647
iter: 58000, train loss: 4.0605, valid recall[@10]: 0.1050, valid nDCG[@10]: 0.0657
iter: 59000, train loss: 4.0634, valid recall[@10]: 0.0980, valid nDCG[@10]: 0.0630
iter: 60000, train loss: 4.0601, valid recall[@10]: 0.0980, valid nDCG[@10]: 0.0549
iter: 61000, train loss: 4.0491, valid recall[@10]: 0.1100, valid nDCG[@10]: 0.0664
iter: 62000, train loss: 4.0412, valid recall[@10]: 0.0950, valid nDCG[@10]: 0.0537
iter: 63000, train loss: 4.0320, valid recall[@10]: 0.0940, valid nDCG[@10]: 0.0540
iter: 64000, train loss: 4.0181, valid recall[@10]: 0.1020, valid nDCG[@10]: 0.0623
iter: 65000, train loss: 4.0204, valid recall[@10]: 0.1020, valid nDCG[@10]: 0.0550
